Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 700,000","Jalan Anggerik Malaxis, Kota Kemuning, Shah Alam, Selangor","Listed on Aug 15, 2025 (15h ago)","1,786 sqft",3 Beds,3 Baths,Completion: 2010,Freehold,https://www.propertyguru.com.my/property-listing/antilla-lagoon-villas-for-sale-by-lily-yap-dh-60174833
"RM 460,000","Bandar Damai Perdana, Cheras, Selangor","Listed on Aug 14, 2025 (16h ago)","1,151 sqft (floor),",3 Beds,3 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/bandar-damai-perdana-for-sale-by-li-yen-wong-60360170
"RM 610,500
Starting from","Persiaran CV 3/2, Cyber 10, Cyberjaya, Selangor","Listed on Jun 06, 2025 (2mo ago)","1,072 sqft",3 Beds,2 Baths,Completion: 2026,Leasehold,https://www.propertyguru.com.my/property-listing/project/aludra-residensi-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-43399246?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MDQ5Nzk0LCJhdCI6MTYzLCJidCI6MCwiY20iOjY1MTA5MDkwMiwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3NDE4MDE2OTYsImRpIjoiMTkzOTc3NDY2NjFjNDRmMWIwYjgzNDE2YjA1Y2IxODEiLCJkaiI6MiwiaWkiOiJiZjg1ZDdhNzNiZjQ0NGU4ODEwMDU5OTRmMjA0M2VjYSIsImRtIjozLCJmYyI6OTE2MDkzMDU0LCJmbCI6ODUzOTU0NzE4LCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNDVuazEsbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC10IiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC10LDQ1bmsxIiwibnciOjExMTM1LCJwYyI6MjUwMCwib3AiOjI1MDAsIm1wIjoyNTAwLCJlYyI6MjUwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wMmJiNWRiZWZmMjM0MmVlZCIsInNwIjoyNzU2MzQsInN0IjoxMjM0NTU1LCJ1ayI6IjQ1MGI3OTA0LTk5ZDAtNDI0ZC1iMjUyLTkxM2IxNTcxOTFhOSIsInRzIjoxNzU1MjQzMjIxODc3LCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3Dbr_WMj_Svi7OXQ-KiUn4bRiGD0U#11673
"RM 535,000","Ampang, Pandan Mewah, Pandan Indah, Taman Putra, Taman Muda, Taman Bukit Teratai, Ampang, Selangor","Listed on Aug 14, 2025 (17h ago)","710 sqft (floor),",3 Beds,2 Baths,Townhouse,Leasehold,https://www.propertyguru.com.my/property-listing/townhouse-at-taman-bukit-teratai-for-sale-by-loh-kc-60332964
"RM 328,000","Kampung Jenderam Hilir, Dengkil, Selangor","Listed on Aug 14, 2025 (17h ago)",990 sqft,3 Beds,2 Baths,Townhouse,,https://www.propertyguru.com.my/property-listing/jendram-hilir-for-sale-by-fb-chong-60314439
"RM 250,000","1-27 Jalan DC 1/5 Desa Coalfields, Sungai Buloh, Selangor","Listed on Aug 14, 2025 (17h ago)","1,000 sqft (floor),",3 Beds,2 Baths,Completion: 2011,Freehold,https://www.propertyguru.com.my/property-listing/desa-coalfields-for-sale-by-joey-koh-43395825
"RM 450,000","seksyen 31 meranti terrace townhouse kota kemuning bukit rimau seksyen 32 kota kemuning hill kk hill kota permai, Kota Kemuning, Shah Alam, Selangor","Listed on Aug 14, 2025 (18h ago)","1,284 sqft",3 Beds,2 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/townhouse-at-kota-kemuning-for-sale-by-bee-seng-chia-60363750
"RM 590,000","Jalan Anggerik Malaxis, Kota Kemuning, Shah Alam, Selangor","Listed on Aug 14, 2025 (21h ago)","1,987 sqft",4 Beds,3 Baths,Completion: 2010,Freehold,https://www.propertyguru.com.my/property-listing/antilla-lagoon-villas-for-sale-by-esther-leong-42813016
"RM 549,999","Jalan Anggerik Malaxis, Kota Kemuning, Shah Alam, Selangor","Listed on Aug 14, 2025 (21h ago)","1,787 sqft",4 Beds,3 Baths,Completion: 2010,Freehold,https://www.propertyguru.com.my/property-listing/antilla-lagoon-villas-for-sale-by-esther-leong-41795330
"RM 1,200,000","Kota Warisan, Sepang, Selangor","Listed on Aug 14, 2025 (21h ago)","3,980 sqft",6 Beds,5 Baths,Completion: 2020,Freehold,https://www.propertyguru.com.my/property-listing/monet-garden-monet-residences-sunsuria-city-for-sale-by-jason-you-43308053
