Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 380,000
Starting from","Taman Len Seng, Taman Connaught, Cheras, Kuala Lumpur","Listed on May 27, 2025 (2mo ago)",452 sqft,1 Bed,1 Bath,Completion: 2027,Freehold,https://www.propertyguru.com.my/property-listing/project/the-connaught-one-for-sale-by-uem-sunrise-berhad-37358011?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MTAyNzkwLCJhdCI6MTYzLCJidCI6MCwiY20iOjY1MTEyOTQ2MCwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3NDE4NjUxNTgsImRpIjoiNDZlYTZjZWE4ZDZiNGU5ZGEwMmMyZWYwMGRjOTEzZWEiLCJkaiI6MCwiaWkiOiJlNTdiNGU5ZmRiODY0NDBkYjljZDBhMjg3ZGQ0OGExYiIsImRtIjozLCJmYyI6OTE2MTU2NDg3LCJmbCI6ODUzOTkzOTU1LCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNThqb2ssbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC1uIiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC1uLDU4am9rIiwibnciOjExMTM1LCJwYyI6MjEwMCwib3AiOjIxMDAsIm1wIjoyMTAwLCJlYyI6MjEwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wMmRmMWVlNGY5MmEzNDVkOSIsInNwIjozMTM5MzAsInN0IjoxMjM0NTU1LCJ1ayI6IjE2MDFkYzI3LWZmM2YtNDAzMi1iNTVjLTg0MmY4YjUzY2IyMyIsInRzIjoxNzU1MjQ2MzU4OTY3LCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3DIKpGkEy-kHgsKSaLAAZ5Cx8DI5g#4567
"RM 230,000","Jalan 1/125G, Desa Petaling, Kuala Lumpur","Listed on Aug 15, 2025 (38m ago)",831 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/desa-sri-puteri-b-for-sale-by-thomas-ngu-60366094
"RM 310,000","- Jalan Prima Pelangi, Segambut, Kuala Lumpur","Listed on Aug 15, 2025 (41m ago)","1,163 sqft",3 Beds,2 Baths,Completion: 2007,Freehold,https://www.propertyguru.com.my/property-listing/bougainvilla-for-sale-by-david-lao-42683071
"RM 400,000","Platinum South Valley, Bandar Tasik Selatan, Kuala Lumpur","Listed on Aug 15, 2025 (47m ago)","1,000 sqft",3 Beds,2 Baths,Completion: 2028,Leasehold,https://www.propertyguru.com.my/property-listing/psv-2-residences-for-sale-by-payee-lim-60026667
"RM 290,000","Jalan Sri Sentosa, Taman Sri Sentosa, Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Listed on Aug 15, 2025 (56m ago)",850 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/1k-tricourt-for-sale-by-kasturi-60250235
"RM 330,000","- Desa Aman Puri, Kepong Kepong, Kepong, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)",837 sqft,3 Beds,2 Baths,Completion: 1990,Freehold,https://www.propertyguru.com.my/property-listing/desa-dua-aman-puri-for-sale-by-jess-lim-60365893
"RM 350,600
Starting from","Seksyen 14, Shah Alam, Selangor","Listed on Jul 17, 2025 (4w ago)",550 sqft,1 Bed,1 Bath,Service Residence,Leasehold,https://www.propertyguru.com.my/property-listing/project/linkar-52-sa-sentral-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-60094014?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MTI5OTE5LCJhdCI6MTYzLCJidCI6MCwiY20iOjY1ODMwMDI0NCwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3NTc0MTgxMDMsImRpIjoiNDZlYTZjZWE4ZDZiNGU5ZGEwMmMyZWYwMGRjOTEzZWEiLCJkaiI6MSwiaWkiOiJlMDQ2NTRmN2M3ZTE0OGZjYTY3NjVmOGM0NDYwZDE5YiIsImRtIjozLCJmYyI6OTMxNzI0MjE0LCJmbCI6ODYxMjAwNjgwLCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNThqb2ssbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC1uIiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC1uLDU4am9rIiwibnciOjExMTM1LCJwYyI6MjEwMCwib3AiOjIxMDAsIm1wIjoyMTAwLCJlYyI6MjEwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wMmRmMWVlNGY5MmEzNDVkOSIsInNwIjozMTM5MzAsInN0IjoxMjM0NTU1LCJ1ayI6IjE2MDFkYzI3LWZmM2YtNDAzMi1iNTVjLTg0MmY4YjUzY2IyMyIsInRzIjoxNzU1MjQ2MzU4OTY4LCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3Dczsnwnyp2UmAwY0Rp9KmM54G4Cs#11755
"RM 535,000","Jalan Tasik Selatan 31, Bandar Tasik Selatan, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)","1,090 sqft",4 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/psv-1-residences-platinum-south-valley-for-sale-by-janice-lye-40292442
"RM 1,180,000","18 Jalan Pinang, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)",849 sqft,3 Beds,2 Baths,Completion: 2019,Freehold,https://www.propertyguru.com.my/property-listing/sky-suites-klcc-for-sale-by-pui-ling-lee-38622432
"RM 310,000","Jalan Klang Lama, Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)","1,150 sqft",3 Beds,2 Baths,Completion: 2005,Freehold,https://www.propertyguru.com.my/property-listing/zamrud-apartment-for-sale-by-ivan-wong-500026394
