Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 1,950,000","Bangsar Baru, Bangsar, Kuala Lumpur","Listed on Aug 13, 2025 (1d ago)","1,900 sqft (floor),",4 Beds,3 Baths,Completion: 2015,Freehold,https://www.propertyguru.com.my/property-listing/bangsar-baru-for-sale-by-ernest-ong-60359633
"RM 5,000,000","Bukit Jalil Golf, Bukit Jalil, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","4,000 sqft (floor),",6 Beds,7 Baths,Bungalow,,https://www.propertyguru.com.my/property-listing/bukit-jalil-golf-country-resort-for-sale-by-yannick-ng-60223974
"RM 9,500,000","Jalan Kiara 2, Mont Kiara, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","8,000 sqft (floor),",7 Beds,8 Baths,Completion: 2008,Freehold,https://www.propertyguru.com.my/property-listing/the-residence-for-sale-by-yannick-ng-43432179
"RM 12,000,000","Bukit Damansara, Damansara Heights, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","8,000 sqft (floor),",9 Beds,9 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/damansara-heights-for-sale-by-yannick-ng-43432193
"RM 10,000,000","Jalan Sungai Penchala, Country Heights Damansara, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","12,000 sqft",8 Beds,8 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/country-heights-damansara-for-sale-by-yannick-ng-41194811
"RM 23,000,000","jalan medan setia, Bukit Ledang, Damansara Heights, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","13,400 sqft (floor),",6 Beds,8 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bungalow-at-damansara-heights-for-sale-by-yannick-ng-42410395
"RM 13,500,000","Jalan Kiara 2, Mont Kiara, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","7,200 sqft (floor),",6 Beds,6 Baths,Completion: 2008,Freehold,https://www.propertyguru.com.my/property-listing/the-residence-for-sale-by-yannick-ng-60062028
"RM 5,500,000","Taman Zaaba, Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","5,000 sqft (floor),",6 Beds,5 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/tmn-tun-dr-ismail-ttdi-for-sale-by-wan-ch-42983338
"RM 9,500,000","Lorong Jarak Kanan, Damansara Heights, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","8,000 sqft (floor),",6 Beds,7 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/damansara-heights-for-sale-by-james-thong-37830379
"RM 650,000","KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)",880 sqft,3 Beds,2 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/freehold-klcc-luxury-condo-in-malaysian-foreigner-can-buy-freehold-fully-furnished-for-sale-by-leon-chia-43125956
