Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 1,280,000","Taman Setapak, Setapak, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","2,500 sqft (floor),",5 Beds,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/freehold-taman-setapak-kl-2-sty-semi-d-house-for-sale-by-noor-aini-bt-ayob-60355859
"RM 3,300,000","Bangsar Baru, Bangsar, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","3,200 sqft (floor),",3 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/facing-open-jalan-tempinis-bangsar-1-sty-semi-d-house-5005-sqft-for-sale-by-noor-aini-bt-ayob-60355968
"RM 2,500,000","Jln Rimbunan Melor, Sungai Besi, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","2,880 sqft (floor),",5 Beds,6 Baths,Completion: 2012,Leasehold,https://www.propertyguru.com.my/property-listing/areca-residence-laman-rimbunan-for-sale-by-vincent-goh-60048344
"RM 3,000,000","Jln Damai Impian, Alam Damai, Cheras, Kuala Lumpur","Listed on Aug 13, 2025 (1d ago)","5,400 sqft (floor),",8 Beds,7 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/damai-impian-for-sale-by-najibah-sahari-60359761
"RM 1,900,000","Jalan Metro Perdana Barat 18, Kepong, Kuala Lumpur","Listed on Aug 13, 2025 (1d ago)","2,000 sqft (floor),",4 Beds,3 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/fortune-park-for-sale-by-ayden-go-42674365
"RM 1,900,000","Jln Rimbunan Melor, Sungai Besi, Kuala Lumpur","Listed on Aug 13, 2025 (1d ago)","2,000 sqft (floor),",4 Beds,3 Baths,Completion: 2012,Leasehold,https://www.propertyguru.com.my/property-listing/areca-residence-laman-rimbunan-for-sale-by-ayden-go-42674377
"RM 4,300,000","1 Jalan Dutamas 1, Solaris Dutamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 13, 2025 (1d ago)","3,820 sqft (floor),",5 Beds,4 Baths,Completion: 2007,Freehold,https://www.propertyguru.com.my/property-listing/duta-tropika-for-sale-by-sheikh-imran-38267023
"RM 1,690,000","Kipark Sri Utara Jalan Ipoh, Taman Mastiara, Jalan Ipoh, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","3,700 sqft (floor),",4 Beds,4 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/laman-residen-for-sale-by-jercy-tan-60358880
"RM 1,890,000","Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","3,474 sqft",4 Beds,3 Baths,Semi-Detached House,,https://www.propertyguru.com.my/property-listing/taman-melawati-for-sale-by-firuz-rahmad-60358539
"RM 1,200,000","Jalan Damai Rasa, KL City Centre, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","2,800 sqft (floor),",4 Beds,4 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/damai-rasa-for-sale-by-davic-yap-43333914
