Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Tenure,URL,Facilities
"RM 100,000","Rumah Pangsa Seri Saujana, Shah Alam","Flat For Sale, listed 2 weeks ago",650,3,2,Leasehold,https://www.mudah.my/rumah-flat-seri-saujana-seksyen-u5-shah-alam-108402248.htm,"Parking, Playground"
"RM 370,000","Liberty Tower @ i-City, I-City","Service Residence For Sale, listed 1 week ago",466,1,1,Freehold,https://www.mudah.my/liberty-tower-studio-for-sale-111178908.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall"
"RM 170,000","Menara KLH (Puchong), Puchong","Condominium For Sale, listed 39 minutes ago",837,3,2,Leasehold,https://www.mudah.my/100-loan-menara-klh-condo-837sf-puchong-below-market-price-10-111280274.htm,"Security, Swimming Pool"
"RM 395,000","City of Green Condominium, Seri Kembangan","Service Residence For Sale, listed 39 minutes ago","1,068",3,2,Freehold,https://www.mudah.my/cashback-100k-full-loan-city-of-green-bukit-jalil-kuala-lumpur-110205639.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall"
"RM 139,000","Taman Sri Andalas, Klang","Flat For Sale, listed 39 minutes ago",729,3,2,Leasehold,https://www.mudah.my/taman-seri-andalas-klang-shop-apartment-1st-floor-for-sale-729sqft-111280267.htm,Timeout
"RM 259,000","Residensi Kesuma 1, Beranang","Apartment For Sale, listed 41 minutes ago",860,3,2,Freehold,https://www.mudah.my/termurahh-free-barang2-residensi-kesuma-1-bandar-tasik-kesuma-semenyih-110857431.htm,"Parking, Security, Lift, Swimming Pool, Playground"
"RM 335,000","Residensi Zamrud @ Kajang, Kajang","Condominium For Sale, listed 42 minutes ago","1,023",3,2,Freehold,https://www.mudah.my/renovated-cantik-murah-below-mv-residensi-zamrud-kajang-2-111280200.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium"
"RM 240,000","Subang Suria, Shah Alam","Apartment For Sale, listed 42 minutes ago",778,3,2,Leasehold,https://www.mudah.my/corner-unit-pangsapuri-subang-suria-shah-alam-110549693.htm,"Parking, Security, Playground, Barbeque area, Minimart"
"RM 170,000","Gugusan Cempaka, Petaling Jaya","Apartment For Sale, listed 43 minutes ago",650,3,2,Freehold,https://www.mudah.my/gugusan-cempaka-petaling-jaya-650sf-full-loan-0-downpayment-111279920.htm,"Parking, Playground, Minimart"
"RM 320,000","Pangsapuri Amansiara (Selangorku), Selayang","Apartment For Sale, listed 43 minutes ago","1,150",3,2,Leasehold,https://www.mudah.my/amansiara-batu-caves-selayang-townhouse-landed-ground-floor-selangor-111279902.htm,"Parking, Security, Lift, Swimming Pool, Sauna, Barbeque area, Minimart"
"RM 238,000","Pangsapuri Saujana Permai 1, Kajang","Apartment For Sale, listed 43 minutes ago",786,3,2,Freehold,https://www.mudah.my/pangsapuri-saujana-permai-primasaujana-mutiara-heights-kajang-forsale-111037571.htm,"Parking, Security"
"RM 250,000","Canopy Hills, Kajang","Condominium For Sale, listed 44 minutes ago",590,2,1,Freehold,https://www.mudah.my/f-loan-near-ktm-mrt-ukm-mv-canopy-hills-condo-kajang-kajang-2-bangi-110801864.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Jogging Track"
"RM 500,000","Suria Residence, Bukit Jelutong","Service Residence For Sale, listed 45 minutes ago",600,2,1,Freehold,https://www.mudah.my/for-sale-111234374.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track"
"RM 238,000","SD Apartments II, Bandar Sri Damansara","Apartment For Sale, listed 45 minutes ago",807,3,2,Freehold,https://www.mudah.my/cashback-depo1k-full-loan-sd-apartment-2-kepong-bandar-sri-damansara-108173716.htm,"Parking, Security, Playground"
"RM 530,000","V-Residensi 2, Shah Alam","Service Residence For Sale, listed 45 minutes ago","1,124",3,3,Freehold,https://www.mudah.my/for-sale-with-tenancy-111234588.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area"
