Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 135,000","- Persiaran Meranti, Bandar Sri Damansara, Selangor","Listed on Aug 14, 2025 (1d ago)",650 sqft,3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-sri-meranti-for-sale-by-angeline-ooi-40845600
"RM 158,000","- Persiaran Meranti, Bandar Sri Damansara, Selangor","Listed on Aug 14, 2025 (1d ago)",650 sqft,3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-sri-meranti-for-sale-by-angeline-ooi-40845602
"RM 120,000","Jalan PJU 10/1 Jalan PJU 10/1B, Damansara Damai, Selangor","Listed on Aug 14, 2025 (1d ago)",650 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/lestari-apartment-for-sale-by-angeline-ooi-40845838
"RM 140,000","Jalan PJU 10/1 Jalan PJU 10/1B, Damansara Damai, Selangor","Listed on Aug 14, 2025 (1d ago)",650 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/lestari-apartment-for-sale-by-angeline-ooi-40594327
"RM 155,000","Jalan PJU 10/1 Jalan PJU 10/1B, Damansara Damai, Selangor","Listed on Aug 14, 2025 (1d ago)",650 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/lestari-apartment-for-sale-by-angeline-ooi-40845807
"RM 109,000","Jalan Kajang Prima 5 Jalan Kajang Prima 5 Off Jalan Semenyih, Kajang Prima, Kajang, Selangor","Listed on Aug 14, 2025 (1d ago)",656 sqft,3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-prima-cempaka-for-sale-by-kk-sah-500023433
"RM 175,000","- Persiaran Subang Mewah, USJ 1, Taman Subang Mewah, Subang Jaya, Selangor","Listed on Aug 14, 2025 (1d ago)",650 sqft,3 Beds,1 Bath,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/angsana-for-sale-by-firdaus-dauz-500023434
"RM 210,000","- Persiaran Meranti, Bandar Sri Damansara, Selangor","Listed on Aug 14, 2025 (1d ago)",650 sqft,3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-sri-meranti-for-sale-by-norfaizah-ahmad-60356929
"RM 180,000","Jalan 5/6 Seksyen 5, Bandar Teknologi Kajang, Semenyih, Selangor","Listed on Aug 14, 2025 (1d ago)",775 sqft,3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/bandar-teknologi-kajang-flat-for-sale-by-julius-ong-60361618
"RM 145,000","Jalan PJU 8/9, Damansara Perdana, Selangor","Listed on Aug 14, 2025 (1d ago)",650 sqft,3 Beds,2 Baths,Completion: 2015,Leasehold,https://www.propertyguru.com.my/property-listing/flora-damansara-flat-for-sale-by-hafiz-helmy-500023368
"RM 479,990","Taman Saujana Puchong, Saujana Puchong, Puchong, Selangor","Listed on Aug 14, 2025 (1d ago)","1,700 sqft",4 Beds,3 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/taman-saujana-puchong-for-sale-by-jing-xiong-lim-42977761
