Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Tenure,URL,Facilities
"RM 370,000","Bayu Tasik 1, Cheras","Condominium For Sale, listed 11 hours ago",960,3,2,Leasehold,https://www.mudah.my/bayu-tasik-condominium-bandar-sri-permaisuri-cheras-for-sale-110012128.htm,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart"
"RM 550,000","Endah Promenade, Sri Petaling","Condominium For Sale, listed 11 hours ago","1,279",4,3,Leasehold,https://www.mudah.my/endah-promenade-sri-petaling-1279sf-nice-view-111264745.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Squash Court"
"RM 330,000","OUG Parklane, OUG","Service Residence For Sale, listed 11 hours ago",950,3,2,Freehold,https://www.mudah.my/100-loan-oug-parklane-950sf-old-klang-road-kl-below-market-price-111264726.htm,"Parking, Security, Swimming Pool, Playground"
"RM 350,000","The Lumayan Apartment, Cheras","Apartment For Sale, listed 11 hours ago",830,3,2,Leasehold,https://www.mudah.my/lumayan-apartment-bandar-seri-permaisuri-cheras-111264687.htm,"Parking, Security, Swimming Pool, Playground, Minimart"
"RM 290,000","Prima Tiara II, Segambut","Apartment For Sale, listed 11 hours ago",980,4,2,Freehold,https://www.mudah.my/100-loan-prima-tiara-2-apartment-segambut-kl-980sf-below-market-110631475.htm,"Parking, Security, Playground"
"RM 260,000","Zamrud Apartment, Old Klang Road","Apartment For Sale, listed 11 hours ago","1,088",3,2,Leasehold,https://www.mudah.my/1k-loan-deposit-zamrud-apartment-old-klang-road-jalan-klang-lama-110085257.htm,"Parking, Security, Lift, Swimming Pool, Playground, Minimart"
"RM 505,000","Taman Desa, Kuala Lumpur","New Condominium For Sale, listed 11 hours ago","1,250",4,3,Leasehold,https://www.mudah.my/below-median-price-rm50xk-huge-layout-condo-nearby-taman-desa-110885866.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track"
"RM 485,000","Astana Lumayan, Cheras","Service Residence For Sale, listed 11 hours ago","1,207",4,2,Leasehold,https://www.mudah.my/astana-lumayan-condominium-bandar-sri-permaisuri-cheras-kl-for-sale-104818168.htm,"Security, Swimming Pool, Playground, Minimart, Multipurpose hall, Club house"
"RM 200,000","Sri Saujana (Kepong), Kepong","Apartment For Sale, listed 11 hours ago",750,3,2,Leasehold,https://www.mudah.my/renovated-kitchen-table-top-tiles-sri-saujana-apartment-kepong-105750616.htm,"Parking, Security, Lift, Minimart"
"RM 510,000","Platinum Lake PV 20, Setapak","Condominium For Sale, listed 11 hours ago","1,333",4,2,Leasehold,https://www.mudah.my/pv20-pv-20-platinum-lake-condominium-with-4-car-parks-107836944.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall"
