Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 1,350,000","8 Jalan 1/1 Laman Oakleaf, Ampang Jaya, Ampang, Selangor","Listed on Aug 14, 2025 (18h ago)","3,768 sqft (floor),",6 Beds,5 Baths,2.5-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/laman-oakleaf-for-sale-by-izzah-alias-60315714
"RM 588,000 - RM 891,000","Antara Gapi, Serendah, Selangor","Listed on Apr 16, 2025 (4mo ago)","1,708 sqft - 1,872 sqft",4 Beds,3 Baths,Completion: 2026,Leasehold,https://www.propertyguru.com.my/property-listing/project/pkns-ixora-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-43089628?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MDQ5ODQ1LCJhdCI6MTYzLCJidCI6MCwiY20iOjYzMjI4ODY5MSwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3MTE2NTMxODAsImRpIjoiNGM4NzQ2YmY1MzNlNDc3YmE0Nzk4YWQ1NTY4YzhiZjUiLCJkaiI6MCwiaWkiOiI0ZjdmOWE4OWUwOTQ0NmFlYjIzMWJjMWY0MDY5ZjZlZCIsImRtIjozLCJmYyI6ODg1OTM2Njc3LCJmbCI6ODM1MTAyOTU3LCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNDVuazEsbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC10IiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC10LDQ1bmsxIiwibnciOjExMTM1LCJwYyI6MjUwMCwib3AiOjI1MDAsIm1wIjoyNTAwLCJlYyI6MjUwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wOGVlOGQ0MmE4ZWMwM2E3YyIsInNwIjoyNTQ3ODcsInN0IjoxMjM0NTU1LCJ1ayI6Ijc2NTJlMDg2LTI2OTItNGIyNy1iMmJmLWE2Y2QxYjM4YWUxMSIsInRzIjoxNzU1MjQyOTg5NzI5LCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3Daj64TDJzzAWHGO0RFLvyKe-lNvA#11478
"RM 1,350,000","Jalan B.U. 1/5 Taman Bukit Utama, Ampang Jaya, Ampang, Selangor","Listed on Aug 14, 2025 (18h ago)","3,768 sqft (floor),",6 Beds,5 Baths,2.5-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/taman-bukit-utama-for-sale-by-izzah-alias-60324041
"RM 730,000","Avenham Garden Eco Grandeur, Puncak Alam, Bandar Puncak Alam, Puncak Alam, Selangor","Listed on Aug 14, 2025 (18h ago)","1,841 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/basic-unit-double-storey-avenham-garden-eco-grandeur-puncak-alam-for-sale-by-izzah-alias-43420318
"RM 340,000","Bukit Kuda, Klang, Selangor","Listed on Aug 14, 2025 (19h ago)","1,400 sqft",4 Beds,2 Baths,1-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/bukit-kuda-klang-for-sale-by-devaz-kumar-60126228
"RM 598,000","Jalan Mahligai, Bandar Bukit Raja, Klang, Selangor","Listed on Aug 14, 2025 (20h ago)","1,400 sqft (floor),",2 Beds,3 Baths,Completion: 2015,Freehold,https://www.propertyguru.com.my/property-listing/saron-nobat-cogan-bandar-bukit-raja-for-sale-by-ying-kai-38118925
"RM 950,000","Jalan TK 4/11, Taman Kinrara, Bandar Kinrara, Selangor","Listed on Aug 14, 2025 (20h ago)","2,000 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/taman-kinrara-seksyen-4-for-sale-by-cheryl-chu-60328289
"RM 610,500
Starting from","Persiaran CV 3/2, Cyber 10, Cyberjaya, Selangor","Listed on Jun 06, 2025 (2mo ago)","1,072 sqft",3 Beds,2 Baths,Completion: 2026,Leasehold,https://www.propertyguru.com.my/property-listing/project/aludra-residensi-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-43399246?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MDQ5Nzk0LCJhdCI6MTYzLCJidCI6MCwiY20iOjY1MTA5MDkwMiwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3NDE4MDE2OTYsImRpIjoiNGM4NzQ2YmY1MzNlNDc3YmE0Nzk4YWQ1NTY4YzhiZjUiLCJkaiI6MSwiaWkiOiJiMTY2MTZiNmYxNWM0MjhjYjhmOGQ2ZDBhOTg0OWEwNCIsImRtIjozLCJmYyI6OTE2MDkzMDU0LCJmbCI6ODUzOTU0NzE4LCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNDVuazEsbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC10IiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC10LDQ1bmsxIiwibnciOjExMTM1LCJwYyI6MjUwMCwib3AiOjI1MDAsIm1wIjoyNTAwLCJlYyI6MjUwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wOGVlOGQ0MmE4ZWMwM2E3YyIsInNwIjoyNTQ3ODcsInN0IjoxMjM0NTU1LCJ1ayI6Ijc2NTJlMDg2LTI2OTItNGIyNy1iMmJmLWE2Y2QxYjM4YWUxMSIsInRzIjoxNzU1MjQyOTg5NzMwLCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3DDhcRuGYbQ8E6TPdo7WGHVLXPVaM#11673
"RM 625,000","Jalan SL 9/9d, Bandar Sungai Long, Selangor","Listed on Aug 14, 2025 (20h ago)","1,600 sqft (floor),",4 Beds,3 Baths,Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/palm-walk-for-sale-by-shanny-tan-43279125
"RM 700,000","Bandar Gamuda Cove, Dengkil, Selangor","Listed on Aug 14, 2025 (21h ago)","1,800 sqft (floor),",3 Beds,3 Baths,Completion: 2027,Leasehold,https://www.propertyguru.com.my/property-listing/mori-pines-for-sale-by-jayden-chan-40421937
