Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL,Facilities
"RM 615,000","No 2A Persiaran Surian Tropicana Indah, Petaling Jaya, Selangor","Listed on Aug 11, 2025 (4d ago)",603 sqft,1 Bed,1 Bath,Completion: 2024,Leasehold,https://www.propertyguru.com.my/property-listing/tropicana-gardens-for-sale-by-vincent-heng-60192623,"24 hours security, Basketball court, Bbq, Gym"
"RM 650,000","No 2A Persiaran Surian Tropicana Indah, Petaling Jaya, Selangor","Listed on Aug 11, 2025 (4d ago)",604 sqft,1 Bed,1 Bath,Completion: 2024,Leasehold,https://www.propertyguru.com.my/property-listing/tropicana-gardens-for-sale-by-vincent-heng-40693945,"24 hours security, Basketball court, Bbq, Gym"
"RM 1,800,000","No 2A Persiaran Surian Tropicana Indah, Petaling Jaya, Selangor","Listed on Aug 11, 2025 (4d ago)","1,573 sqft",3 Beds,3 Baths,Completion: 2024,Leasehold,https://www.propertyguru.com.my/property-listing/tropicana-gardens-for-sale-by-vincent-heng-37887328,"24 hours security, Basketball court, Bbq, Gym"
"RM 560,000","Jalan Batu Nilam 21, Bandar Bukit Tinggi 2, Klang, Selangor","Listed on Aug 11, 2025 (4d ago)","1,001 sqft",3 Beds,2 Baths,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/interpoint-for-sale-by-simon-ng-39867647,"Multi-storey car park, Retail stores"
"RM 950,000","Jalan PJU 1A/20, Ara Damansara, Selangor","Listed on Aug 11, 2025 (4d ago)","1,507 sqft",3 Beds,2 Baths,Completion: 2016,Freehold,https://www.propertyguru.com.my/property-listing/verde-for-sale-by-jasmine-yap-36091715,"24 hours security, Gym, Jogging track, Swimming pool"
"RM 1,228,000","Persiaran Tropicana, Tropicana, Selangor","Listed on Aug 10, 2025 (4d ago)","1,509 sqft",3 Beds,3 Baths,Completion: 2020,Leasehold,https://www.propertyguru.com.my/property-listing/lumi-tropicana-for-sale-by-jessica-voon-40218832,"24 hours security, Badminton hall, Bbq, Cafes"
"RM 718,000","Persiaran Wawasan Persiaran Wawasan Off LDP Highway, Setiawalk, Pusat Bandar Puchong, Puchong, Selangor","Listed on Aug 10, 2025 (5d ago)","1,335 sqft (floor),",4 Beds,4 Baths,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/trigon-luxury-residences-for-sale-by-lakshmi-govindaraj-40567256,Not Listed
"RM 626,560","Temasya Glenmarie, Glenmarie, Selangor","Listed on Aug 09, 2025 (5d ago)",904 sqft,3 Beds,2 Baths,Completion: 2026,Freehold,https://www.propertyguru.com.my/property-listing/temasya-prisma-for-sale-by-james-law-40509388,"Bbq, Gym, Jacuzzi, Lounge"
"RM 468,160","Temasya Glenmarie, Glenmarie, Selangor","Listed on Aug 09, 2025 (5d ago)",678 sqft,2 Beds,1 Bath,Completion: 2026,Freehold,https://www.propertyguru.com.my/property-listing/temasya-prisma-for-sale-by-james-law-40509366,"Bbq, Gym, Jacuzzi, Lounge"
"RM 250,000
Starting from","Telok Panglima Garang, Selangor","Listed on Aug 01, 2025 (2w ago)",550 sqft,1 Bed,1 Bath,Service Residence,Leasehold,https://www.propertyguru.com.my/property-listing/project/se-ruma-serviced-apartment-for-sale-by-eco-sanctuary-sdn-bhd-ecoworld-60246908#11796,"24 hours security, Bbq, Gym, Multi-purpose hall"
"RM 299,000
Starting from","Lorong Serai, Bandar Gamuda Gardens, Rawang, Selangor","Listed on Jul 31, 2025 (2w ago)",550 sqft,1 Bed,1 Bath,Completion: 2021,Leasehold,https://www.propertyguru.com.my/property-listing/project/gaia-residences-for-sale-by-bandar-serai-development-sdn-bhd-36123045#4167,"24 hours security, Bbq, Cafes, Gym"
"RM 350,600
Starting from","Seksyen 14, Shah Alam, Selangor","Listed on Jul 17, 2025 (4w ago)",550 sqft,1 Bed,1 Bath,Service Residence,Leasehold,https://www.propertyguru.com.my/property-listing/project/linkar-52-sa-sentral-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-60094014#11755,"24 hours security, Bbq, Bus stop, Community garden"
"RM 361,000
Starting from","Jalan FA 1, Federal Avenue, Subang, Selangor","Listed on Jul 01, 2025 (1mo ago)",549 sqft,1 Bed,1 Bath,Completion: 2029,Freehold,https://www.propertyguru.com.my/property-listing/project/luminar-residence-federal-avenue-for-sale-by-impina-impresif-sdn-bhd-43030350#11460,"24 hours security, Basketball court, Bbq, Covered car park"
"RM 1,153,000
Starting from","Jalan Profesor Diraja Ungku Aziz, Seksyen 13, Petaling Jaya, Selangor","Listed on Jun 26, 2025 (1mo ago)","1,384 sqft - 30,077 sqft",,,Completion: 2024,Leasehold,https://www.propertyguru.com.my/property-listing/project/atwater-for-sale-by-paramount-property-sdn-bhd-41741240#7315,"24 hours security, Covered car park, Covered linkways, Landscaped garden"
"RM 691,400
Starting from","Petaling Jaya, Selangor","Listed on Jun 26, 2025 (1mo ago)",775 sqft,2 Beds,2 Baths,Completion: 2028,Leasehold,https://www.propertyguru.com.my/property-listing/project/the-atera-petaling-jaya-phase-2-for-sale-by-aneka-sepakat-sdn-bhd-37795052#5630,"24 hours security, Basketball court, Bbq, Community garden"
"RM 562,000
Starting from","Taman Perindustrian Usj 1, Subang Jaya, Selangor","Listed on Jun 13, 2025 (2mo ago)",689 sqft,2 Beds,2 Baths,Completion: 2029,Freehold,https://www.propertyguru.com.my/property-listing/project/mosaic-residences-for-sale-by-cheras-traders-square-sdn-bhd-43441058#11689,"24 hours security, Bbq, Covered car park, Drop off point"
"RM 550,000
Starting from","Damansara Avenue, Bandar Sri Damansara, Selangor","Listed on Jun 06, 2025 (2mo ago)",554 sqft,1 Bed,1 Bath,Completion: 2028,Freehold,https://www.propertyguru.com.my/property-listing/project/amaya-residences-damansara-avenue-for-sale-by-indo-aman-bina-sdn-bhd-39895523#5186,"24 hours security, Badminton hall, Basketball court, Bbq"
Price on ask,"Shorea Park, Puchong, Selangor","Listed on Jun 05, 2025 (2mo ago)",807 sqft,2 Beds,2 Baths,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/project/nara-at-shorea-park-for-sale-by-aspect-potential-sdn-bhd-41522360#5573,"24 hours security, Badminton hall, Cafes, Covered car park"
"RM 722,536 - RM 909,865","Kayu Ara, Petaling Jaya, Selangor","Listed on May 26, 2025 (2mo ago)","1,175 sqft",3 Beds,2 Baths,Completion: 2016,Leasehold,https://www.propertyguru.com.my/property-listing/project/glomac-centro-service-apartment-for-sale-by-glomac-kristal-sdn-bhd-36448552#4236,"24 hours security, Bbq, Cafes, Covered car park"
"RM 365,610
Starting from","Jalan Metro 2, Bandar Metro Puchong, Puchong, Selangor","Listed on May 26, 2025 (2mo ago)",450 sqft,2 Beds,1 Bath,Completion: 2028,Leasehold,https://www.propertyguru.com.my/property-listing/project/loop-residences-for-sale-by-glomac-berhad-43340096#11558,"24 hours security, Badminton hall, Basketball court, Bbq"
Price on ask,"Jalan Tukul Q15/Q, Seksyen 15, Shah Alam, Selangor","Listed on May 19, 2025 (2mo ago)",550 sqft,2 Beds,1 Bath,Service Residence,99-year Leasehold,https://www.propertyguru.com.my/property-listing/project/viera-15-for-sale-by-serta-usaha-sdn-bhd-43302015#11534,"24 hours security, Bbq, Bus stop, Clubhouse"
"RM 573,800
Starting from","Klang’s City Centre, Kawasan 18, Klang, Selangor","Listed on May 16, 2025 (3mo ago)","1,000 sqft",3 Beds,2 Baths,Completion: 2028,Freehold,https://www.propertyguru.com.my/property-listing/project/uptown-residences-2-berkeley-uptown-for-sale-by-berkeley-sdn-bhd-41391369#5520,"24 hours security, Badminton hall, Basketball court, Bbq"
"RM 429,660
Starting from","No 1, Se.Duduk Square Jalan Kajang Villa, Kajang, Selangor","Listed on May 02, 2025 (3mo ago)","1,000 sqft",3 Beds,2 Baths,Completion: 2028,Freehold,https://www.propertyguru.com.my/property-listing/project/se-duduk-d-kajang-by-ecoworld-for-sale-by-eco-terraces-sdn-bhd-42953662#11398,"24 hours security, Bbq, Bus stop, Cafes"
"RM 590,888
Starting from","1 Persiaran Melia, Elmina, Seksyen U15, Shah Alam, Selangor","Listed on Mar 27, 2025 (4mo ago)","1,000 sqft",3 Beds,2 Baths,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/project/city-of-elmina-kanopi-residences-for-sale-by-sime-darby-property-berhad-41906326#5684,"24 hours security, Community garden, Drop off point, Gym"
"RM 280,000
Starting from","Puchong, Selangor","Listed on Mar 03, 2025 (5mo ago)",570 sqft,1 Bed,1 Bath,Completion: 2027,Leasehold,https://www.propertyguru.com.my/property-listing/project/astra-aurora-residence-for-sale-by-permodalan-masteron-sdn-bhd-40588583#5310,"24 hours security, Bbq, Cafes, Covered car park"
"RM 386,000
Starting from","Persiaran Anggun, Taman Scientex Rawang, Rawang, Selangor","Listed on Feb 24, 2025 (5mo ago)",872 sqft,3 Beds,2 Baths,Completion: 2029,Freehold,https://www.propertyguru.com.my/property-listing/project/mori-residences-3-for-sale-by-scientex-park-m-sdn-bhd-42926659#11202,"24 hours security, Badminton hall, Bbq, Covered car park"
"RM 373,500
Starting from","Jalan Pinggiran Mas 2, Puchong, Selangor","Listed on Feb 19, 2025 (5mo ago)",753 sqft,2 Beds,2 Baths,Completion: 2025,Leasehold,https://www.propertyguru.com.my/property-listing/project/kr7-residences-for-sale-by-masteron-group-34098288#3555,"24 hours security, Basketball court, Bbq, Cafes"
"RM 250,000
Starting from","Warisan Puteri, Sepang, Sepang, Selangor","Listed on Feb 10, 2025 (6mo ago)",603 sqft,2 Beds,1 Bath,Completion: 2026,Freehold,https://www.propertyguru.com.my/property-listing/project/arena-residences-2-for-sale-by-pilihan-teraju-sdn-bhd-40447708#5299,"24 hours security, Bbq, Gym, Multi-purpose hall"
Price on ask,"Persiaran RIO City, Bandar Puteri Puchong, Puchong, Selangor","Listed on Feb 10, 2025 (6mo ago)",764 sqft,2 Beds,2 Baths,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/project/2rio-residence-bandar-puteri-puchong-for-sale-by-flora-development-sdn-bhd-42374712#7283,24 hours security
"RM 250,000
Starting from","Puchong, Selangor","Listed on Jan 31, 2025 (6mo ago)",600 sqft,2 Beds,2 Baths,Service Residence,Leasehold,https://www.propertyguru.com.my/property-listing/project/skyria-for-sale-by-astana-modal-m-sdn-bhd-41288680#5488,"24 hours security, Basketball court, Bbq, Community garden"
"RM 270,000 - RM 395,800","Kita @ Cybersouth, Dengkil, Selangor","Listed on Jan 31, 2025 (6mo ago)",602 sqft - 850 sqft,3 Beds,2 Baths,Completion: 2026,,https://www.propertyguru.com.my/property-listing/project/pangsapuri-kita-sejati-for-sale-by-kita-sejati-sdn-bhd-35766261#4058,"24 hours security, Bbq, Gym, Multi-purpose hall"
"RM 529,000
Starting from","16 Sierra, Puchong, Selangor","Listed on Jan 22, 2025 (6mo ago)",969 sqft - 990 sqft,3 Beds,2 Baths,Completion: 2020,Leasehold,https://www.propertyguru.com.my/property-listing/project/zentro-residences-serviced-apartment-for-sale-by-lush-development-sdn-bhd-42663771#9845,"24 hours security, Bbq, Cafes, Drop off point"
"RM 250,000
Starting from","16 Sierra, Puchong, Selangor","Listed on Jan 22, 2025 (6mo ago)",550 sqft,2 Beds,1 Bath,Completion: 2027,99-year Leasehold,https://www.propertyguru.com.my/property-listing/project/covo-16-sierra-for-sale-by-16-sierra-lush-development-sdn-bhd-40827495#5402,"24 hours security, Basketball court, Bbq, Community garden"
"RM 789,000 - RM 911,000","Persiaran Surian, Kota Damansara, Selangor","Listed on Jan 14, 2025 (7mo ago)",692 sqft,2 Beds,2 Baths,Completion: 2025,Leasehold,https://www.propertyguru.com.my/property-listing/project/edelweiss-tropicana-gardens-for-sale-by-tropicana-indah-sdn-bhd-34865888#5128,"Bbq, Gym, Lounge, Multi-purpose hall"
"RM 732,700
Starting from","Persiaran Tropicana, Tropicana, Selangor","Listed on Dec 12, 2024 (8mo ago)",862 sqft,2 Beds,2 Baths,Completion: 2020,Leasehold,https://www.propertyguru.com.my/property-listing/project/lumi-tropicana-for-sale-by-mayfair-ventures-sdn-bhd-42545618#8250,"24 hours security, Badminton hall, Bbq, Cafes"
"RM 470,000
Starting from","Bandar Puchong Jaya, Puchong, Selangor","Listed on Nov 13, 2024 (9mo ago)",700 sqft,2 Beds,2 Baths,Completion: 2028,Leasehold,https://www.propertyguru.com.my/property-listing/project/the-wyn-residences-for-sale-by-forward-victory-sdn-bhd-39942674#5206,"24 hours security, Badminton hall, Basketball court, Community garden"
"RM 630,000 - RM 995,800","Avenue 25 Subang Jaya, Subang Jaya, Selangor","Listed on Nov 07, 2024 (9mo ago)","923 sqft - 1,042 sqft",3 Beds,2 Baths,Completion: 2027,Freehold,https://www.propertyguru.com.my/property-listing/project/alora-residences-avenue-25-subang-jaya-for-sale-by-avaland-berhad-37477177#4600,"24 hours security, Bbq, Covered linkways, Drop off point"
"RM 507,000 - RM 566,000","Persiaran Awana, Batu 9, Cheras, Selangor","Listed on Oct 29, 2024 (9mo ago)",675 sqft,2 Beds,1 Bath,Completion: 2026,Freehold,https://www.propertyguru.com.my/property-listing/project/emerald-9-for-sale-by-glm-emerald-square-cheras-sdn-bhd-42388905#7310,"24 hours security, Badminton hall, Bbq, Covered car park"
"RM 697,800
Starting from","Jalan MP 1, Subang Jaya, Selangor","Listed on Oct 18, 2024 (10mo ago)",883 sqft,3 Beds,2 Baths,Completion: 2028,Freehold,https://www.propertyguru.com.my/property-listing/project/amika-residences-for-sale-by-next-delta-sdn-bhd-38816034#5016,"24 hours security, Bbq, Drop off point, Eateries"
"RM 506,000
Starting from","Tropicana Metropark, Subang Jaya, Selangor","Listed on Oct 02, 2024 (10mo ago)",583 sqft,1 Bed,1 Bath,Completion: 2027,Freehold,https://www.propertyguru.com.my/property-listing/project/southplace-2-residences-for-sale-by-tropicana-metropark-sdn-bhd-35069647#3855,"24 hours security, Basketball court, Bbq, Drop off point"
"RM 420,000","Persiaran Setia Damai, Setia Alam, Selangor","Listed on Aug 15, 2025 (47s ago)","1,000 sqft",3 Beds,2 Baths,Completion: 2023,Freehold,https://www.propertyguru.com.my/property-listing/huni-eco-ardence-for-sale-by-valesca-tee-40829023,"24 hours security, Bbq, Clubhouse, Gym"
"RM 425,000","Persiaran Setia Damai, Setia Alam, Selangor","Listed on Aug 15, 2025 (1m ago)","1,000 sqft",3 Beds,2 Baths,Completion: 2023,Freehold,https://www.propertyguru.com.my/property-listing/huni-eco-ardence-for-sale-by-valesca-tee-60322708,"24 hours security, Bbq, Clubhouse, Gym"
"RM 490,000","27 Jalan SS 20/1, Damansara Intan, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (4m ago)",861 sqft,2 Beds,2 Baths,Completion: 2008,Freehold,https://www.propertyguru.com.my/property-listing/casa-suites-for-sale-by-chris-ting-500026566,"24 hours security, Bbq, Cafes, Covered car park"
"RM 1,650,000","Jalan Pju 1A/4, Ara Damansara, Selangor","Listed on Aug 15, 2025 (4m ago)","1,965 sqft",3 Beds,2 Baths,Completion: 2018,Leasehold,https://www.propertyguru.com.my/property-listing/the-potpourri-for-sale-by-bryan-chan-60291608,"24 hours security, Badminton hall, Bbq, Clubhouse"
"RM 780,000","Jalan PJU 1a/4a, Ara Damansara, Selangor","Listed on Aug 15, 2025 (5m ago)","1,173 sqft",3 Beds,2 Baths,Service Residence,Leasehold,https://www.propertyguru.com.my/property-listing/aratre-residences-for-sale-by-bryan-chan-60011661,Not Listed
"RM 2,100,000","Jalan Pju 1A/4, Ara Damansara, Selangor","Listed on Aug 15, 2025 (6m ago)","2,213 sqft",3 Beds,3 Baths,Completion: 2018,Leasehold,https://www.propertyguru.com.my/property-listing/the-potpourri-for-sale-by-bryan-chan-60007163,"24 hours security, Badminton hall, Bbq, Clubhouse"
"RM 1,350,000","Jalan Pju 1A/4, Ara Damansara, Selangor","Listed on Aug 15, 2025 (6m ago)","1,488 sqft",3 Beds,3 Baths,Completion: 2018,Leasehold,https://www.propertyguru.com.my/property-listing/the-potpourri-for-sale-by-bryan-chan-60007149,"24 hours security, Badminton hall, Bbq, Clubhouse"
"RM 1,200,000","Jalan Pju 1A/4, Ara Damansara, Selangor","Listed on Aug 15, 2025 (6m ago)","1,829 sqft",2 Beds,2 Baths,Completion: 2018,Leasehold,https://www.propertyguru.com.my/property-listing/the-potpourri-for-sale-by-bryan-chan-60007134,"24 hours security, Badminton hall, Bbq, Clubhouse"
"RM 195,000","Jalan Semenyih, Kiara Plaza, 43500 Semenyih, Semenyih, Selangor","Listed on Aug 15, 2025 (21m ago)",861 sqft,3 Beds,2 Baths,Completion: 2017,Freehold,https://www.propertyguru.com.my/property-listing/kiara-plaza-for-sale-by-jamie-loke-43239797,"24 hours security, Bbq, Covered car park, Gym"
"RM 379,000","Jalan PJU 10/1A Jalan PJU 10/1A, Damansara Damai, Selangor","Listed on Aug 15, 2025 (25m ago)",883 sqft,4 Beds,2 Baths,Completion: 2020,Leasehold,https://www.propertyguru.com.my/property-listing/the-zizz-damansara-north-for-sale-by-bob-ong-60365966,"24 hours security, Basketball court, Bbq, Bus stop"
"RM 549,999","Jalan Melawati 1 Off Jalan Taman Melawati, Ulu Kelang, Selangor","Listed on Aug 15, 2025 (26m ago)",633 sqft,Studio,1 Bath,Completion: 2018,Freehold,https://www.propertyguru.com.my/property-listing/serini-melawati-for-sale-by-ming-ju-li-500026492,"24 hours security, Cafes, Covered car park, Eateries"
"RM 357,000","Jalan PJU 1a/3 Jalan PJU 1a/3, Ara Damansara, Selangor","Listed on Aug 15, 2025 (26m ago)",880 sqft,2 Beds,2 Baths,Completion: 2017,Freehold,https://www.propertyguru.com.my/property-listing/h2o-residences-for-sale-by-jamie-loke-60365965,"24 hours security, Basketball court, Bbq, Clubhouse"
"RM 211,000","Jalan Kuching, Prima Selayang, Selayang, Selangor","Listed on Aug 15, 2025 (35m ago)",624 sqft,1 Bed,1 Bath,Service Residence,Leasehold,https://www.propertyguru.com.my/property-listing/168-park-residensi-selayang-for-sale-by-jamie-loke-60365925,Parking
"RM 383,000","Off Jalan Kota Warisan, Kota Warisan, Sepang, Selangor","Listed on Aug 15, 2025 (35m ago)","1,000 sqft",3 Beds,2 Baths,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/arena-residences-for-sale-by-jay-go-42653801,Not Listed
"RM 649,999","Jalan Melawati 1 Off Jalan Taman Melawati, Ulu Kelang, Selangor","Listed on Aug 15, 2025 (36m ago)","1,037 sqft",3 Beds,2 Baths,Completion: 2018,Freehold,https://www.propertyguru.com.my/property-listing/serini-melawati-for-sale-by-ming-ju-li-500026454,"24 hours security, Cafes, Covered car park, Eateries"
"RM 1,200,000","Jalan SS7/26A, SS7, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (37m ago)","1,572 sqft",4 Beds,3 Baths,Completion: 2018,Freehold,https://www.propertyguru.com.my/property-listing/sapphire-paradigm-for-sale-by-sean-ng-43030595,"24 hours security, Drop off point, Gym, Jacuzzi"
"RM 548,000","Persiaran Serdang Perdana, Seri Kembangan, Selangor","Listed on Aug 15, 2025 (41m ago)","1,110 sqft",3 Beds,2 Baths,Service Residence,Leasehold,https://www.propertyguru.com.my/property-listing/quaver-residence-for-sale-by-janice-lye-41272965,Not Listed
"RM 528,000","Persiaran Serdang Perdana, Seri Kembangan, Selangor","Listed on Aug 15, 2025 (41m ago)","1,110 sqft",3 Beds,2 Baths,Service Residence,Leasehold,https://www.propertyguru.com.my/property-listing/quaver-residence-for-sale-by-janice-lye-41074706,Not Listed
"RM 590,000","Jalan SS 7/26 Jalan Ss 7/26 Off Paradigm Mall, Damansara - Puchong Highway Ldp, Kelana Jaya, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (45m ago)",945 sqft,2 Beds,2 Baths,Completion: 2017,Leasehold,https://www.propertyguru.com.my/property-listing/the-azure-residences-for-sale-by-paul-lee-42646992,"24 hours security, Covered car park, Gym, Nursery"
"RM 568,000","Persiaran Wawasan Off Lebuhraya Damansara - Puchong (LDP), Puchong, Selangor","Listed on Aug 15, 2025 (45m ago)","1,138 sqft",3 Beds,2 Baths,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/vio-serviced-apartments-setiawalk-for-sale-by-paul-lee-43103242,"24 hours security, Bbq, Gym, Multi-purpose hall"
"RM 369,000","Persiaran Subang Mewah, Subang Jaya, Selangor","Listed on Aug 15, 2025 (45m ago)",775 sqft,2 Beds,2 Baths,Completion: 2018,Leasehold,https://www.propertyguru.com.my/property-listing/the-edge-residence-for-sale-by-paul-lee-60198899,"24 hours security, Bbq, Covered car park, Gym"
"RM 350,000","Jalan Welfare Off Jalan Sungai Buloh, Sungai Buloh, Selangor","Listed on Aug 15, 2025 (46m ago)","504 sqft (floor),",1 Bed,1 Bath,Completion: 2018,Leasehold,https://www.propertyguru.com.my/property-listing/d-sara-sentral-for-sale-by-hao-pua-60365866,"24 hours security, Bbq, Gym, Parking"
"RM 280,000","- Persiaran Bukit Puchong, Bandar Bukit Puchong, Puchong, Selangor","Listed on Aug 15, 2025 (48m ago)","1,007 sqft",3 Beds,2 Baths,Service Residence,Leasehold,https://www.propertyguru.com.my/property-listing/the-heron-residency-for-sale-by-paul-lee-43460545,"24 hours security, Cafes, Clubhouse, Gym"
"RM 693,700","Jalan SS 16/1, Subang Jaya, Selangor","Listed on Aug 15, 2025 (50m ago)","1,927 sqft",3 Beds,3 Baths,Completion: 2010,Freehold,https://www.propertyguru.com.my/property-listing/subang-olives-residence-for-sale-by-thomas-ngu-400000449,"Badminton hall, Bbq, Clubhouse, Gym"
"RM 1,124,640","Jalan SS 16/1, Subang Jaya, Selangor","Listed on Aug 15, 2025 (50m ago)","3,124 sqft",4 Beds,5 Baths,Completion: 2010,Freehold,https://www.propertyguru.com.my/property-listing/subang-olives-residence-for-sale-by-thomas-ngu-400000460,"Badminton hall, Bbq, Clubhouse, Gym"
"RM 330,000","Jalan PJU 1A/3, Ara Damansara, Selangor","Listed on Aug 15, 2025 (55m ago)","500 sqft (floor),",1 Bed,1 Bath,Completion: 2017,Freehold,https://www.propertyguru.com.my/property-listing/maisson-for-sale-by-hao-pua-60365822,"24 hours security, Covered car park, Gym, Landscaped garden"
"RM 538,000","Petaling Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)",775 sqft,2 Beds,2 Baths,Completion: 2028,Leasehold,https://www.propertyguru.com.my/property-listing/the-atera-petaling-jaya-phase-2-for-sale-by-yvonne-yep-42851290,"24 hours security, Basketball court, Bbq, Community garden"
"RM 578,000","Petaling Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)",775 sqft,2 Beds,2 Baths,Completion: 2028,Leasehold,https://www.propertyguru.com.my/property-listing/the-atera-petaling-jaya-phase-2-for-sale-by-yvonne-yep-43409741,"24 hours security, Basketball court, Bbq, Community garden"
"RM 690,800","Petaling Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)","1,022 sqft",3 Beds,2 Baths,Completion: 2028,Leasehold,https://www.propertyguru.com.my/property-listing/the-atera-petaling-jaya-phase-2-for-sale-by-yvonne-yep-43227389,"24 hours security, Basketball court, Bbq, Community garden"
"RM 338,000","Jalan Puchong Jalan Puchong Batu 13 1/2, Taman Industri Pusat Bandar Puchong, Puchong, Selangor","Listed on Aug 15, 2025 (1h ago)","1,022 sqft",3 Beds,2 Baths,Completion: 2013,Leasehold,https://www.propertyguru.com.my/property-listing/koi-boulevard-for-sale-by-amelyn-thong-60238033,"24 hours security, Bbq, Cafes, Gym"
"RM 540,000","Amani Residences Persiaran Puteri, Bandar Puteri Puchong, Puchong, Selangor","Listed on Aug 15, 2025 (1h ago)",883 sqft,3 Beds,2 Baths,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/amani-residence-for-sale-by-denson-yong-42466402,"24 hours security, Bbq, Covered car park, Gym"
"RM 1,008,000","Petaling Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)","1,420 sqft",4 Beds,3 Baths,Completion: 2028,Leasehold,https://www.propertyguru.com.my/property-listing/the-atera-petaling-jaya-phase-2-for-sale-by-yvonne-yep-42998460,"24 hours security, Basketball court, Bbq, Community garden"
"RM 700,000","8 Kinrara Jalan BK 5a/1, Bandar Kinrara, Selangor","Listed on Aug 15, 2025 (1h ago)","1,096 sqft (floor),",3 Beds,2 Baths,Completion: 2016,Freehold,https://www.propertyguru.com.my/property-listing/8-kinrara-for-sale-by-denson-yong-32101240,"24 hours security, Gym, Landscaped garden, Perimeter fencing"
"RM 648,000","8 Kinrara Jalan BK 5a/1, Bandar Kinrara, Selangor","Listed on Aug 15, 2025 (1h ago)","1,096 sqft",3 Beds,2 Baths,Completion: 2016,Freehold,https://www.propertyguru.com.my/property-listing/8-kinrara-for-sale-by-chai-my-42315940,"24 hours security, Gym, Landscaped garden, Perimeter fencing"
"RM 205,000","Persiaran Batu Nilam 11, Bandar Bukit Tinggi, Klang, Selangor","Listed on Aug 15, 2025 (1h ago)",657 sqft,1 Bed+1,1 Bath,Completion: 2023,Freehold,https://www.propertyguru.com.my/property-listing/trio-by-setia-for-sale-by-asyraf-500026297,"24 hours security, Bbq, Community garden, Covered car park"
"RM 540,000","Lebuh Utama Tun Hussein Onn, Bandar Tun Hussein Onn, Cheras, Selangor","Listed on Aug 15, 2025 (1h ago)",969 sqft,3 Beds,2 Baths,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/the-netizen-for-sale-by-justin-chin-500026271,"24 hours security, Bbq, Perimeter fencing"
"RM 500,000","Jalan PJU 1a/46, Ara Damansara, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)",721 sqft,2 Beds,2 Baths,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/arra-residences-for-sale-by-sharon-ooi-60365655,24 hours security
"RM 420,000","Lebuhraya Silk, Tmn Cheras Jaya, Cheras, Selangor","Listed on Aug 15, 2025 (1h ago)",850 sqft,2 Beds,2 Baths,Completion: 2021,Freehold,https://www.propertyguru.com.my/property-listing/akasa-for-sale-by-trevor-chai-60365693,"24 hours security, Badminton hall, Bbq, Gym"
"RM 460,000","Persiaran Perdana, Bandar Sri Damansara, Selangor","Listed on Aug 15, 2025 (1h ago)",499 sqft,Studio,1 Bath,Completion: 2021,Freehold,https://www.propertyguru.com.my/property-listing/ativo-suites-for-sale-by-joyce-chee-41970260,"24 hours security, Basketball court, Bbq, Drop off point"
"RM 790,000","Jalan PJU 8/8, Damansara Perdana, Selangor","Listed on Aug 15, 2025 (1h ago)","1,200 sqft",4 Beds,2 Baths,Completion: 2024,Leasehold,https://www.propertyguru.com.my/property-listing/d-erica-for-sale-by-nick-mok-500026246,Not Listed
"RM 660,000","40 Jalan Sungai Burung 32/68, Bukit Rimau, Shah Alam, Selangor","Listed on Aug 15, 2025 (1h ago)","1,044 sqft",4 Beds,3 Baths,Completion: 2020,Freehold,https://www.propertyguru.com.my/property-listing/geo-bukit-rimau-for-sale-by-wilson-lim-43361897,"24 hours security, Bbq, Gym, Jacuzzi"
"RM 315,000","ELITE Highway, Dengkil, Selangor","Listed on Aug 15, 2025 (1h ago)",478 sqft,2 Beds,1 Bath,Completion: 2022,Freehold,https://www.propertyguru.com.my/property-listing/horizon-suites-for-sale-by-paul-chia-500026211,"24 hours security, Badminton hall, Basketball court, Bbq"
"RM 250,000","Persiaran Awana, Batu 9, Cheras, Selangor","Listed on Aug 15, 2025 (1h ago)",550 sqft,2 Beds,1 Bath,Completion: 2026,Freehold,https://www.propertyguru.com.my/property-listing/emerald-9-for-sale-by-celeste-60046853,"24 hours security, Badminton hall, Bbq, Covered car park"
