Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL,Facilities
"RM 3,300,000","Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Bangsar Baru, Bangsar, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","3,200 sqft (floor),",3 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/bangsar-jalan-tempinis-for-sale-by-ali-idris-60343945,"24 hours security, Bbq, Playground"
"RM 460,000","Bukit Jalil Golf, Bukit Jalil, Kuala Lumpur","Listed on Aug 09, 2025 (5d ago)","1,701 sqft",4 Beds,3 Baths,Completion: 2026,Freehold,https://www.propertyguru.com.my/property-listing/bukit-jalil-sky-bungalow-style-big-layout-duplex-l-shaped-balcony-link-bridge-to-mrt-for-sale-by-harry-choong-43285987,"24 hours security, Badminton hall, Basketball court, Bbq"
"RM 460,000","Bukit Jalil Golf, Bukit Jalil, Kuala Lumpur","Listed on Aug 09, 2025 (5d ago)","1,801 sqft",4 Beds,3 Baths,Completion: 2026,Freehold,https://www.propertyguru.com.my/property-listing/sky-bungalow-concept-bukit-jalil-duplex-4-bedrooms-direct-mrt-link-for-sale-by-harry-choong-43298514,"24 hours security, Badminton hall, Basketball court, Bbq"
"RM 570,000","Taman Impian Indah, Bukit Jalil, Kuala Lumpur","Listed on Aug 09, 2025 (5d ago)","2,367 sqft",5 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/luxury-freehold-penthouse-bukit-jalil-fully-furnished-0-downpayment-for-sale-by-harry-choong-43298073,"24 hours security, Badminton hall, Basketball court, Bbq"
"RM 610,000","Alam Sutera, Bukit Jalil, Kuala Lumpur","Listed on Aug 09, 2025 (5d ago)","2,316 sqft",4 Beds,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/freehold-smart-penthouse-sky-semi-condo-bukit-jalil-free-furnished-cashback-0dp-for-sale-by-harry-choong-60330046,"24 hours security, Badminton hall, Basketball court, Bbq"
"RM 1,880,000","Amberhill, Jalan K, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 08, 2025 (6d ago)","5,000 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taman-melawati-for-sale-by-zheng-hong-tan-42654339,24 hours security
"RM 470,000","KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","1,000 sqft",3 Beds,2 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/500k-foreigner-friendly-next-to-retails-1-4-rooms-16-roi-for-sale-by-angie-tan-43380829,"24 hours security, Badminton hall, Basketball court, Bbq"
"RM 3,200,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","3,500 sqft (floor),",5 Beds,4 Baths,Semi-Detached House,,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yin-peng-41815937,Not Listed
"RM 5,000,000","Jalan Laman Kiara 1, Mont Kiara, Kuala Lumpur","Listed on Aug 11, 2025 (3d ago)","5,400 sqft (floor),",5 Beds,5 Baths,Completion: 2021,Freehold,https://www.propertyguru.com.my/property-listing/serene-mont-kiara-for-sale-by-bilya-ariff-42051558,"24 hours security, Basketball court, Bbq, Clubhouse"
"RM 5,400,000","Desa Sri Hartamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 11, 2025 (3d ago)","5,900 sqft (floor),",5 Beds,6 Baths,Completion: 2009,,https://www.propertyguru.com.my/property-listing/villa-serene-kiara-for-sale-by-bilya-ariff-42647683,"24 hours security, Gym, Landscaped garden, Multi-purpose hall"
"RM 4,200,000","Desa Sri Hartamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 11, 2025 (3d ago)","4,381 sqft (floor),",6 Beds,6 Baths,Completion: 2009,,https://www.propertyguru.com.my/property-listing/villa-serene-kiara-for-sale-by-bilya-ariff-42647404,"24 hours security, Gym, Landscaped garden, Multi-purpose hall"
"RM 4,500,000","1 Jalan Dutamas 1, Solaris Dutamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 10, 2025 (4d ago)","4,000 sqft (floor),",5 Beds,6 Baths,Completion: 2007,Freehold,https://www.propertyguru.com.my/property-listing/duta-tropika-for-sale-by-jayce-tan-38581500,"24 hours security, Gym, Jacuzzi, Multi-purpose hall"
"RM 4,800,000","Jalan Kiara 3, Mont Kiara, Mont Kiara, Kuala Lumpur","Listed on Aug 10, 2025 (4d ago)","4,200 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/flora-murni-for-sale-by-jayce-tan-31439478,"24 hours security, Bbq, Gym, Jacuzzi"
"RM 4,300,000","Jalan Sri Hartamas 1, Sri Hartamas, Kuala Lumpur","Listed on Aug 10, 2025 (4d ago)","3,800 sqft (floor),",5 Beds,6 Baths,Completion: 2008,Freehold,https://www.propertyguru.com.my/property-listing/bukit-kiara-residences-for-sale-by-jayce-tan-42495572,"24 hours security, Clubhouse, Covered car park, Gym"
"RM 4,200,000","Taman Sri Hartamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 10, 2025 (4d ago)","4,000 sqft (floor),",5 Beds,6 Baths,Completion: 1980,Freehold,https://www.propertyguru.com.my/property-listing/bkt-kiara-residences-for-sale-by-jayce-tan-30098822,Parking
"RM 2,650,000","Taman Overseas Union (Taman Oug), Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Listed on Aug 15, 2025 (8m ago)","3,200 sqft",6 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/semi-d-house-at-taman-overseas-union-taman-oug-for-sale-by-miko-lew-43063696,Parking
"RM 2,300,000","3 Jalan Datuk Sulaiman, Sungai Besi, Kuala Lumpur","Listed on Aug 15, 2025 (16m ago)","4,082 sqft (floor),",7 Beds+1,5 Baths,Completion: 2013,Freehold,https://www.propertyguru.com.my/property-listing/villa-laman-cahaya-for-sale-by-nur-adibah-ishak-500026789,"24 hours security, Playground"
"RM 1,690,000","Laman Residen, Taman Mastiara, Jalan Ipoh, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)","3,700 sqft (floor),",4 Beds,4 Baths,Completion: 2000,Leasehold,https://www.propertyguru.com.my/property-listing/laman-residen-for-sale-by-suki-tan-60366105,"24 hours security, Playground"
"RM 2,800,000","Jalan desa mesra, Taman Desa, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)","2,400 sqft (floor),",7 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/jalan-desa-mesra-taman-desa-semi-detached-double-storey-house-for-sale-by-sean-ng-39522622,Not Listed
"RM 3,000,000","Bandar Baru Sri Petaling, Sri Petaling, Bandar Baru Sri Petaling, Sri Petaling, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)","4,500 sqft (floor),",6 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/sri-petaling-for-sale-by-yeong-43386990,Not Listed
"RM 3,100,000","3 Jalan Datuk Sulaiman, Sungai Besi, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)","4,082 sqft (floor),",8 Beds,5 Baths,Completion: 2013,Freehold,https://www.propertyguru.com.my/property-listing/villa-laman-cahaya-for-sale-by-ahmad-fikri-amer-hamzah-60365540,"24 hours security, Playground"
"RM 1,400,000","Lorong Enggang 13, Dato Keramat Tambahan, Taman Keramat, Ulu Kelang, Kuala Lumpur","Listed on Aug 15, 2025 (5h ago)","4,025 sqft (land)",4 Beds,3 Baths,Semi-Detached House,,https://www.propertyguru.com.my/property-listing/taman-keramat-ulu-kelang-for-sale-by-p-m-chan-42705710,Not Listed
"RM 1,800,000","Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 15, 2025 (5h ago)","5,000 sqft (floor),",6 Beds,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taman-melawati-for-sale-by-zheng-hong-tan-500021966,Not Listed
"RM 4,800,000","Jalan Kiara 3, Mont Kiara, Kuala Lumpur","Listed on Aug 15, 2025 (5h ago)","4,744 sqft (floor),",5 Beds,6 Baths,Completion: 2008,Freehold,https://www.propertyguru.com.my/property-listing/amarin-kiara-for-sale-by-nick-yeap-35953829,"24 hours security, Clubhouse, Gym, Jogging track"
"RM 2,100,000","Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 15, 2025 (5h ago)","4,000 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taman-melawati-for-sale-by-zheng-hong-tan-42631670,"24 hours security, Covered car park, Playground"
"RM 2,250,000","Jalan Melawati 5A, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (5h ago)","4,221 sqft (floor),",5 Beds,7 Baths,Completion: 2009,Freehold,https://www.propertyguru.com.my/property-listing/riverview-riverview-kemensah-for-sale-by-zheng-hong-tan-40665795,"24 hours security, Parking"
"RM 1,890,000","Taman Overseas Union (Taman Oug), Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Listed on Aug 15, 2025 (6h ago)","3,400 sqft (floor),",4 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taman-oug-for-sale-by-jovin-cheor-42721112,Not Listed
"RM 1,080,000","Jalan Jintan Manis, Cheras, Kuala Lumpur","Listed on Aug 15, 2025 (7h ago)","1,800 sqft (floor),",4 Beds,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taman-supreme-for-sale-by-deckson-tan-500025535,"Parking, Playground"
"RM 1,830,000","Taman Keramat, Ulu Kelang, Kuala Lumpur","Listed on Aug 15, 2025 (8h ago)","3,720 sqft (floor),",6 Beds,5 Baths,Semi-Detached House,,https://www.propertyguru.com.my/property-listing/au2-keramat-taman-keramat-for-sale-by-norfazilah-binti-mohd-saad-60233273,Not Listed
"RM 3,800,000","Jalan Setiabakti 9, Bukit Damansara, Damansara Heights, Kuala Lumpur","Listed on Aug 15, 2025 (8h ago)","2,800 sqft (floor),",4 Beds,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/semi-detached-house-at-bukit-damansara-for-sale-by-eugene-liew-60364582,Not Listed
