Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 2,550,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","2,500 sqft (floor),",4 Beds,4 Baths,2-storey Terraced House,,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yin-peng-60061384
"RM 1,550,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","2,000 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yin-peng-43477649
"RM 1,450,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","2,000 sqft (floor),",5 Beds,3 Baths,2-storey Terraced House,,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yin-peng-43385022
"RM 1,700,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","1,800 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yin-peng-60186093
"RM 1,250,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","1,600 sqft (floor),",3 Beds,2 Baths,1-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yin-peng-60213705
"RM 1,020,000","Kepong Bukit Maluri Menjalara, Taman Bukit Maluri, Kepong, Kuala Lumpur","Listed on Aug 13, 2025 (1d ago)","1,765 sqft (floor),",3 Beds,2 Baths,1-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/taman-bukit-maluri-for-sale-by-charmaine-tan-43235670
"RM 630,000","Taman Cheras, Cheras, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","2,600 sqft",4 Beds,3 Baths,2-storey Terraced House,,https://www.propertyguru.com.my/property-listing/cheras-for-sale-by-cassey-yong-41141646
"RM 6,000,000","Jalan Sri Hartamas 1, Taman Sri Hartamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","6,549 sqft",5 Beds,6 Baths,Completion: 2010,Freehold,https://www.propertyguru.com.my/property-listing/kh-villa-sri-hartamas-for-sale-by-sam-poh-43131313
"RM 2,600,000","Lorong Beluntas 2, Damansara Heights, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","3,267 sqft (floor),",4 Beds,4 Baths,3-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/medan-damansara-for-sale-by-shaun-s-shahrome-60330244
"RM 1,198,000","Jalan Tiara, Bukit Jalil, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","2,688 sqft (floor),",6 Beds,4 Baths,Completion: 2010,Freehold,https://www.propertyguru.com.my/property-listing/mutiara-bukit-jalil-for-sale-by-june-60081603
"RM 5,000,000","persiaran residen, Desa Parkcity, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","3,656 sqft",5 Beds,5 Baths,3-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/breezeway-parkhomes-for-sale-by-leon-liew-35512234
"RM 1,370,000","Taman Bukit Maluri, Kepong, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","2,600 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,,https://www.propertyguru.com.my/property-listing/taman-bukit-maluri-for-sale-by-justin-voon-60320274
"RM 570,000","Taman Bukit Teratai, Ampang, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","1,400 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/new-refurbished-double-storey-taman-bukit-teratai-for-sale-by-yasmin-sulaiman-60354080
"RM 470,000","Taman Sentul Jaya, Taman Dato Senu, Sentul, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","1,000 sqft (floor),",3 Beds,3 Baths,3-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/fully-renovated-3-storey-terrace-taman-sentul-jaya-for-sale-by-yasmin-sulaiman-60353126
"RM 390,000","38 Taman Sri Sinar, Segambut, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","1,000 sqft (floor),",3 Beds,3 Baths,2.5-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/taman-sri-sinar-for-sale-by-desmond-kok-60323364
"RM 750,000","Taman Bukit Maluri Kepong Baru Bandar Menjalara 62, Taman Bukit Maluri, Kepong, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","1,760 sqft (floor),",3 Beds,2 Baths,1-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/taman-bukit-maluri-for-sale-by-mandy-liew-43081324
"RM 3,400,000","Jalan Laman Kiara 1, Mont Kiara, Kuala Lumpur","Listed on Aug 11, 2025 (3d ago)","3,638 sqft (floor),",5 Beds,5 Baths,Completion: 2021,Freehold,https://www.propertyguru.com.my/property-listing/serene-mont-kiara-for-sale-by-bilya-ariff-43413415
"RM 3,200,000","Jalan Laman Kiara 1, Mont Kiara, Kuala Lumpur","Listed on Aug 11, 2025 (3d ago)","3,759 sqft (floor),",6 Beds,6 Baths,Completion: 2021,Freehold,https://www.propertyguru.com.my/property-listing/serene-mont-kiara-for-sale-by-bilya-ariff-42146812
"RM 2,280,000","Sunway Spk, Kuala Lumpur","Listed on Aug 11, 2025 (4d ago)","2,500 sqft",5 Beds,3 Baths,2-storey Terraced House,,https://www.propertyguru.com.my/property-listing/sunway-spk-damansara-for-sale-by-janice-yap-42254064
"RM 2,600,000","Persiaran Residen, Desa Parkcity, Kuala Lumpur","Listed on Aug 10, 2025 (4d ago)","1,808 sqft (floor),",3 Beds,3 Baths,Completion: 2007,Freehold,https://www.propertyguru.com.my/property-listing/adora-courtyard-apartments-for-sale-by-kent-chua-60027487
"RM 1,000,000","Taman Bukit Maluri Kepong Baru Bandar Menjalara 62, Taman Bukit Maluri, Kepong, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","2,300 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/taman-bukit-maluri-for-sale-by-mandy-liew-43098461
"RM 3,500,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","2,850 sqft (floor),",5 Beds,3 Baths,1.5-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yin-peng-37673260
